location,name,freq,weighting,n_factors,date,ret
bra,accruals,monthly,vw_cap,5,2008-06-30,0.0111297881302498
bra,accruals,monthly,vw_cap,5,2008-07-31,-0.0366458130621249
bra,accruals,monthly,vw_cap,5,2008-08-31,0.0243909409482979
bra,accruals,monthly,vw_cap,5,2008-09-30,-0.0171538747411476
bra,accruals,monthly,vw_cap,5,2008-10-31,0.0117053798014129
bra,accruals,monthly,vw_cap,5,2008-11-30,0.0620731984174387
bra,accruals,monthly,vw_cap,5,2008-12-31,0.0393962745515199
bra,accruals,monthly,vw_cap,5,2009-01-31,0.0209777753881962
bra,accruals,monthly,vw_cap,5,2009-02-28,-0.0361826306099904
bra,accruals,monthly,vw_cap,5,2009-03-31,0.0419398105976989
bra,accruals,monthly,vw_cap,5,2009-04-30,-0.0150302216169111
bra,accruals,monthly,vw_cap,5,2009-05-31,0.00703819124509812
bra,accruals,monthly,vw_cap,5,2009-06-30,0.0197587354321799
bra,accruals,monthly,vw_cap,5,2009-07-31,-0.0474865490817828
bra,accruals,monthly,vw_cap,5,2009-08-31,0.0104122310522635
bra,accruals,monthly,vw_cap,5,2009-09-30,0.00453902365002492
bra,accruals,monthly,vw_cap,5,2009-10-31,-0.0287837142928385
bra,accruals,monthly,vw_cap,5,2009-11-30,-0.00388936215418623
bra,accruals,monthly,vw_cap,5,2009-12-31,0.00732512130178523
bra,accruals,monthly,vw_cap,5,2010-01-31,0.162819918740332
bra,accruals,monthly,vw_cap,5,2010-02-28,-0.0216647402686569
bra,accruals,monthly,vw_cap,5,2010-03-31,-0.0315586096960282
bra,accruals,monthly,vw_cap,5,2010-04-30,0.00492442048836626
bra,accruals,monthly,vw_cap,5,2010-05-31,-0.00743224278695727
bra,accruals,monthly,vw_cap,5,2010-06-30,0.00951197493992468
bra,accruals,monthly,vw_cap,5,2010-07-31,-0.0203183420172642
bra,accruals,monthly,vw_cap,5,2010-08-31,0.0104542099804677
bra,accruals,monthly,vw_cap,5,2010-09-30,-0.010961279164591
bra,accruals,monthly,vw_cap,5,2010-10-31,0.0103399179898036
bra,accruals,monthly,vw_cap,5,2010-11-30,0.0181103145029848
bra,accruals,monthly,vw_cap,5,2010-12-31,0.0333074641799586
bra,accruals,monthly,vw_cap,5,2011-01-31,0.029398394046323
bra,accruals,monthly,vw_cap,5,2011-02-28,-0.00986820284702548
bra,accruals,monthly,vw_cap,5,2011-03-31,-0.00192637327033631
bra,accruals,monthly,vw_cap,5,2011-04-30,0.0124663616040708
bra,accruals,monthly,vw_cap,5,2011-05-31,0.00297727770959994
bra,accruals,monthly,vw_cap,5,2011-06-30,0.00333140252933242
bra,accruals,monthly,vw_cap,5,2011-07-31,0.000867550651693055
bra,accruals,monthly,vw_cap,5,2011-08-31,0.0251804032377286
bra,accruals,monthly,vw_cap,5,2011-09-30,0.0523425054710486
bra,accruals,monthly,vw_cap,5,2011-10-31,-0.0818933522342043
bra,accruals,monthly,vw_cap,5,2011-11-30,0.00569164200342
bra,accruals,monthly,vw_cap,5,2011-12-31,0.0335895774166183
bra,accruals,monthly,vw_cap,5,2012-01-31,-0.0569401524166263
bra,accruals,monthly,vw_cap,5,2012-02-29,0.00330007219598264
bra,accruals,monthly,vw_cap,5,2012-03-31,0.0121093290037506
bra,accruals,monthly,vw_cap,5,2012-04-30,-0.00877002673086567
bra,accruals,monthly,vw_cap,5,2012-05-31,-0.00974853205179726
bra,accruals,monthly,vw_cap,5,2012-06-30,-0.0177618784304762
bra,accruals,monthly,vw_cap,5,2012-07-31,-0.00824911044139913
bra,accruals,monthly,vw_cap,5,2012-08-31,-0.00356988050124235
bra,accruals,monthly,vw_cap,5,2012-09-30,-0.0103611940859418
bra,accruals,monthly,vw_cap,5,2012-10-31,-0.00757097464577404
bra,accruals,monthly,vw_cap,5,2012-11-30,-0.020013889716563
bra,accruals,monthly,vw_cap,5,2012-12-31,0.0278648315948373
bra,accruals,monthly,vw_cap,5,2013-01-31,0.0200580203158717
bra,accruals,monthly,vw_cap,5,2013-02-28,-0.0276047735891669
bra,accruals,monthly,vw_cap,5,2013-03-31,-0.00829886534965766
bra,accruals,monthly,vw_cap,5,2013-04-30,-0.0125743509089357
bra,accruals,monthly,vw_cap,5,2013-05-31,-4.80460868349117e-05
bra,accruals,monthly,vw_cap,5,2013-06-30,0.00438578309354165
bra,accruals,monthly,vw_cap,5,2013-07-31,-0.00244824091400703
bra,accruals,monthly,vw_cap,5,2013-08-31,0.0469076997156071
bra,accruals,monthly,vw_cap,5,2013-09-30,-0.0206601592487579
bra,accruals,monthly,vw_cap,5,2013-10-31,0.0117184425885783
bra,accruals,monthly,vw_cap,5,2013-11-30,0.010069965294603
bra,accruals,monthly,vw_cap,5,2013-12-31,0.00646585873537823
bra,accruals,monthly,vw_cap,5,2014-01-31,0.0431137397313337
bra,accruals,monthly,vw_cap,5,2014-02-28,-0.00456137195542098
bra,accruals,monthly,vw_cap,5,2014-03-31,-0.0244264429396318
bra,accruals,monthly,vw_cap,5,2014-04-30,-0.00655423131714412
bra,accruals,monthly,vw_cap,5,2014-05-31,-0.0220772781685735
bra,accruals,monthly,vw_cap,5,2014-06-30,-0.0132273204751902
bra,accruals,monthly,vw_cap,5,2014-07-31,0.0194546750391594
bra,accruals,monthly,vw_cap,5,2014-08-31,0.0342559756674911
bra,accruals,monthly,vw_cap,5,2014-09-30,-0.00627161028582978
bra,accruals,monthly,vw_cap,5,2014-10-31,0.00291686994896657
bra,accruals,monthly,vw_cap,5,2014-11-30,-0.00960674269510555
bra,accruals,monthly,vw_cap,5,2014-12-31,0.00874309125306542
bra,accruals,monthly,vw_cap,5,2015-01-31,0.066330385495954
bra,accruals,monthly,vw_cap,5,2015-02-28,-0.000807307284514071
bra,accruals,monthly,vw_cap,5,2015-03-31,-0.0168703472468888
bra,accruals,monthly,vw_cap,5,2015-04-30,-0.0245742148581669
bra,accruals,monthly,vw_cap,5,2015-05-31,-0.000618768107433872
bra,accruals,monthly,vw_cap,5,2015-06-30,-0.000854399258258934
bra,accruals,monthly,vw_cap,5,2015-07-31,0.0100884705323566
bra,accruals,monthly,vw_cap,5,2015-08-31,0.0517569541334374
bra,accruals,monthly,vw_cap,5,2015-09-30,0.070459094498057
bra,accruals,monthly,vw_cap,5,2015-10-31,-0.0754330464943806
bra,accruals,monthly,vw_cap,5,2015-11-30,-0.0296687473942983
bra,accruals,monthly,vw_cap,5,2015-12-31,0.00496787025426684
bra,accruals,monthly,vw_cap,5,2016-01-31,-0.0459545149512769
bra,accruals,monthly,vw_cap,5,2016-02-29,-0.00314361233376189
bra,accruals,monthly,vw_cap,5,2016-03-31,-0.0912680871790108
bra,accruals,monthly,vw_cap,5,2016-04-30,-0.0657553647141311
bra,accruals,monthly,vw_cap,5,2016-05-31,0.0366303962087013
bra,accruals,monthly,vw_cap,5,2016-06-30,-0.0306635908568706
bra,accruals,monthly,vw_cap,5,2016-07-31,-0.0245726113598045
bra,accruals,monthly,vw_cap,5,2016-08-31,0.0190534950514339
bra,accruals,monthly,vw_cap,5,2016-09-30,-0.0353740161100579
bra,accruals,monthly,vw_cap,5,2016-10-31,0.018830848069851
bra,accruals,monthly,vw_cap,5,2016-11-30,0.0254580867712277
bra,accruals,monthly,vw_cap,5,2016-12-31,0.0283380489960866
bra,accruals,monthly,vw_cap,5,2017-01-31,0.0129513326631214
bra,accruals,monthly,vw_cap,5,2017-02-28,0.0412882495792677
bra,accruals,monthly,vw_cap,5,2017-03-31,-0.0181194805688917
bra,accruals,monthly,vw_cap,5,2017-04-30,-0.0276920203315158
bra,accruals,monthly,vw_cap,5,2017-05-31,-0.00466868552055298
bra,accruals,monthly,vw_cap,5,2017-06-30,-0.0232460366628633
bra,accruals,monthly,vw_cap,5,2017-07-31,0.00838374131814974
bra,accruals,monthly,vw_cap,5,2017-08-31,-0.0151411345620516
bra,accruals,monthly,vw_cap,5,2017-09-30,-0.0196612968617012
bra,accruals,monthly,vw_cap,5,2017-10-31,0.0450245440723723
bra,accruals,monthly,vw_cap,5,2017-11-30,-0.0588658424536702
bra,accruals,monthly,vw_cap,5,2017-12-31,-0.0227006795254314
bra,accruals,monthly,vw_cap,5,2018-01-31,0.00718389236575469
bra,accruals,monthly,vw_cap,5,2018-02-28,0.0389342236889233
bra,accruals,monthly,vw_cap,5,2018-03-31,0.0602119954510076
bra,accruals,monthly,vw_cap,5,2018-04-30,0.0312896530552072
bra,accruals,monthly,vw_cap,5,2018-05-31,0.0215708759761721
bra,accruals,monthly,vw_cap,5,2018-06-30,0.00204386842450313
bra,accruals,monthly,vw_cap,5,2018-07-31,-0.0268965077430518
bra,accruals,monthly,vw_cap,5,2018-08-31,-0.0160185897902635
bra,accruals,monthly,vw_cap,5,2018-09-30,-0.00724093038568511
bra,accruals,monthly,vw_cap,5,2018-10-31,-0.0190996766387498
bra,accruals,monthly,vw_cap,5,2018-11-30,0.0328765358815058
bra,accruals,monthly,vw_cap,5,2018-12-31,-0.0333740261124966
bra,accruals,monthly,vw_cap,5,2019-01-31,0.0281401688479505
bra,accruals,monthly,vw_cap,5,2019-02-28,-0.0165348726796655
bra,accruals,monthly,vw_cap,5,2019-03-31,-0.00578969967727837
bra,accruals,monthly,vw_cap,5,2019-04-30,-0.00444395855527347
bra,accruals,monthly,vw_cap,5,2019-05-31,-0.0409724252921436
bra,accruals,monthly,vw_cap,5,2019-06-30,-0.00291249804021421
bra,accruals,monthly,vw_cap,5,2019-07-31,0.00384707042367864
bra,accruals,monthly,vw_cap,5,2019-08-31,0.00222401703862142
bra,accruals,monthly,vw_cap,5,2019-09-30,0.0285974085044231
