location,name,freq,weighting,n_factors,date,ret
aus,accruals,monthly,vw_cap,5,1990-11-30,-0.0103886319324538
aus,accruals,monthly,vw_cap,5,1990-12-31,-0.00449162690222749
aus,accruals,monthly,vw_cap,5,1991-01-31,-0.0272176845510471
aus,accruals,monthly,vw_cap,5,1991-02-28,0.0157394334337225
aus,accruals,monthly,vw_cap,5,1991-03-31,0.027018870049561
aus,accruals,monthly,vw_cap,5,1991-04-30,-0.0205743344550481
aus,accruals,monthly,vw_cap,5,1991-05-31,-0.000956592842633362
aus,accruals,monthly,vw_cap,5,1991-06-30,0.0167007994005279
aus,accruals,monthly,vw_cap,5,1991-07-31,0.00822830211197288
aus,accruals,monthly,vw_cap,5,1991-08-31,0.00705342606412204
aus,accruals,monthly,vw_cap,5,1991-09-30,-0.0132792480531743
aus,accruals,monthly,vw_cap,5,1991-10-31,-0.0220886523107728
aus,accruals,monthly,vw_cap,5,1991-11-30,-0.00921090926522633
aus,accruals,monthly,vw_cap,5,1991-12-31,-0.0171714936739104
aus,accruals,monthly,vw_cap,5,1992-01-31,-0.00144737159033893
aus,accruals,monthly,vw_cap,5,1992-02-29,0.00551315668477085
aus,accruals,monthly,vw_cap,5,1992-03-31,0.00727590875378159
aus,accruals,monthly,vw_cap,5,1992-04-30,-0.000484836195029939
aus,accruals,monthly,vw_cap,5,1992-05-31,0.0159467909106376
aus,accruals,monthly,vw_cap,5,1992-06-30,0.0278136994700817
aus,accruals,monthly,vw_cap,5,1992-07-31,0.0190266623560456
aus,accruals,monthly,vw_cap,5,1992-08-31,-0.00141170261978724
aus,accruals,monthly,vw_cap,5,1992-09-30,0.0225515589569708
aus,accruals,monthly,vw_cap,5,1992-10-31,-0.0141516477586126
aus,accruals,monthly,vw_cap,5,1992-11-30,-0.0237335932790483
aus,accruals,monthly,vw_cap,5,1992-12-31,0.00218039172867992
aus,accruals,monthly,vw_cap,5,1993-01-31,-0.00478094444206667
aus,accruals,monthly,vw_cap,5,1993-02-28,0.0182441737455377
aus,accruals,monthly,vw_cap,5,1993-03-31,-0.00203198747447222
aus,accruals,monthly,vw_cap,5,1993-04-30,-0.00156201778136174
aus,accruals,monthly,vw_cap,5,1993-05-31,0.0615830047247485
aus,accruals,monthly,vw_cap,5,1993-06-30,-0.00456277561426848
aus,accruals,monthly,vw_cap,5,1993-07-31,0.0109626453544339
aus,accruals,monthly,vw_cap,5,1993-08-31,-0.00660443273993123
aus,accruals,monthly,vw_cap,5,1993-09-30,-0.0111299120706899
aus,accruals,monthly,vw_cap,5,1993-10-31,-0.0102281748778684
aus,accruals,monthly,vw_cap,5,1993-11-30,0.00792480103571813
aus,accruals,monthly,vw_cap,5,1993-12-31,0.010082340753778
aus,accruals,monthly,vw_cap,5,1994-01-31,0.0503988579657864
aus,accruals,monthly,vw_cap,5,1994-02-28,-0.00998849260341137
aus,accruals,monthly,vw_cap,5,1994-03-31,0.0130826333212605
aus,accruals,monthly,vw_cap,5,1994-04-30,-0.00965518949161426
aus,accruals,monthly,vw_cap,5,1994-05-31,0.00255529274958007
aus,accruals,monthly,vw_cap,5,1994-06-30,-0.0184280558989876
aus,accruals,monthly,vw_cap,5,1994-07-31,-0.00244161906273432
aus,accruals,monthly,vw_cap,5,1994-08-31,0.0236199702036612
aus,accruals,monthly,vw_cap,5,1994-09-30,-0.00739931456130319
aus,accruals,monthly,vw_cap,5,1994-10-31,0.0074752785103003
aus,accruals,monthly,vw_cap,5,1994-11-30,0.00694858457008099
aus,accruals,monthly,vw_cap,5,1994-12-31,-0.00654500556931195
aus,accruals,monthly,vw_cap,5,1995-01-31,-0.00604631921642508
aus,accruals,monthly,vw_cap,5,1995-02-28,0.0127481367284234
aus,accruals,monthly,vw_cap,5,1995-03-31,-0.0136709459278698
aus,accruals,monthly,vw_cap,5,1995-04-30,-0.0175110586966681
aus,accruals,monthly,vw_cap,5,1995-05-31,-0.000240614194622461
aus,accruals,monthly,vw_cap,5,1995-06-30,0.011045691793459
aus,accruals,monthly,vw_cap,5,1995-07-31,0.0247529869076107
aus,accruals,monthly,vw_cap,5,1995-08-31,-0.00410049089546888
aus,accruals,monthly,vw_cap,5,1995-09-30,-0.00399501726933655
aus,accruals,monthly,vw_cap,5,1995-10-31,-0.0101855467526736
aus,accruals,monthly,vw_cap,5,1995-11-30,0.00232788811035372
aus,accruals,monthly,vw_cap,5,1995-12-31,-0.00223963584309221
aus,accruals,monthly,vw_cap,5,1996-01-31,-0.0151508853071768
aus,accruals,monthly,vw_cap,5,1996-02-29,0.0107089144521518
aus,accruals,monthly,vw_cap,5,1996-03-31,0.00191899852704518
aus,accruals,monthly,vw_cap,5,1996-04-30,0.00507136755012393
aus,accruals,monthly,vw_cap,5,1996-05-31,-0.0032613015682752
aus,accruals,monthly,vw_cap,5,1996-06-30,-0.0105414857155821
aus,accruals,monthly,vw_cap,5,1996-07-31,0.00862029326425953
aus,accruals,monthly,vw_cap,5,1996-08-31,-0.00889274943590312
aus,accruals,monthly,vw_cap,5,1996-09-30,-0.0159680204798029
aus,accruals,monthly,vw_cap,5,1996-10-31,0.0146778390251159
aus,accruals,monthly,vw_cap,5,1996-11-30,-0.00393632431002788
aus,accruals,monthly,vw_cap,5,1996-12-31,0.00684938471734354
aus,accruals,monthly,vw_cap,5,1997-01-31,-0.00452640372396554
aus,accruals,monthly,vw_cap,5,1997-02-28,-0.00737018816183456
aus,accruals,monthly,vw_cap,5,1997-03-31,-0.0070024140978652
aus,accruals,monthly,vw_cap,5,1997-04-30,0.0139057724784072
aus,accruals,monthly,vw_cap,5,1997-05-31,0.00775559872425405
aus,accruals,monthly,vw_cap,5,1997-06-30,-0.00848236949973259
aus,accruals,monthly,vw_cap,5,1997-07-31,0.00494304325322858
aus,accruals,monthly,vw_cap,5,1997-08-31,0.00649493660786092
aus,accruals,monthly,vw_cap,5,1997-09-30,-0.0226165407574152
aus,accruals,monthly,vw_cap,5,1997-10-31,0.0023531450638953
