location,name,freq,weighting,n_countries,date,ret
world_ex_us,momentum,monthly,vw,32,1993-07-31,0.00858615338320081
world_ex_us,momentum,monthly,vw,33,1993-08-31,-0.00631976167777683
world_ex_us,momentum,monthly,vw,35,1993-09-30,-0.00653079461368339
world_ex_us,momentum,monthly,vw,33,1993-10-31,0.0162937275085435
world_ex_us,momentum,monthly,vw,34,1993-11-30,0.000310294610455822
world_ex_us,momentum,monthly,vw,34,1993-12-31,0.0115638742271263
world_ex_us,momentum,monthly,vw,34,1994-01-31,-0.0259211010936437
world_ex_us,momentum,monthly,vw,36,1994-02-28,0.00185493982005265
world_ex_us,momentum,monthly,vw,36,1994-03-31,-0.0133033354341274
world_ex_us,momentum,monthly,vw,35,1994-04-30,-0.00670976612534167
world_ex_us,momentum,monthly,vw,35,1994-05-31,-0.00396309623839755
world_ex_us,momentum,monthly,vw,34,1994-06-30,0.00627707058681623
world_ex_us,momentum,monthly,vw,35,1994-07-31,-0.00286493693107283
world_ex_us,momentum,monthly,vw,35,1994-08-31,0.00278165115942464
world_ex_us,momentum,monthly,vw,34,1994-09-30,0.002423663054073
world_ex_us,momentum,monthly,vw,35,1994-10-31,0.0120967975215578
world_ex_us,momentum,monthly,vw,36,1994-11-30,-0.00659325130552999
world_ex_us,momentum,monthly,vw,37,1994-12-31,-0.0114722455783853
world_ex_us,momentum,monthly,vw,37,1995-01-31,-0.0172099258429337
world_ex_us,momentum,monthly,vw,37,1995-02-28,0.00222314104507601
world_ex_us,momentum,monthly,vw,37,1995-03-31,-0.00424451772617053
world_ex_us,momentum,monthly,vw,37,1995-04-30,0.00377228015735099
world_ex_us,momentum,monthly,vw,38,1995-05-31,0.00543972340259725
world_ex_us,momentum,monthly,vw,38,1995-06-30,0.00739177922336461
world_ex_us,momentum,monthly,vw,38,1995-07-31,-0.0166380518082131
world_ex_us,momentum,monthly,vw,38,1995-08-31,-0.0102542867861604
world_ex_us,momentum,monthly,vw,38,1995-09-30,0.00917185654438391
world_ex_us,momentum,monthly,vw,38,1995-10-31,0.0108508153774921
world_ex_us,momentum,monthly,vw,40,1995-11-30,-0.00149693925740038
world_ex_us,momentum,monthly,vw,40,1995-12-31,-0.0121763872218095
world_ex_us,momentum,monthly,vw,40,1996-01-31,-0.00223402006439311
world_ex_us,momentum,monthly,vw,39,1996-02-29,-0.00699457893309456
world_ex_us,momentum,monthly,vw,39,1996-03-31,0.0106482567569331
world_ex_us,momentum,monthly,vw,39,1996-04-30,-0.00196377935214564
world_ex_us,momentum,monthly,vw,40,1996-05-31,0.00840090546462666
world_ex_us,momentum,monthly,vw,39,1996-06-30,0.00525254705470002
world_ex_us,momentum,monthly,vw,40,1996-07-31,-0.00745768045844999
world_ex_us,momentum,monthly,vw,40,1996-08-31,0.00261828320504997
world_ex_us,momentum,monthly,vw,40,1996-09-30,0.00829655214225937
world_ex_us,momentum,monthly,vw,40,1996-10-31,0.00988642666566449
world_ex_us,momentum,monthly,vw,40,1996-11-30,0.0166239301044295
world_ex_us,momentum,monthly,vw,40,1996-12-31,0.0202648254777923
world_ex_us,momentum,monthly,vw,40,1997-01-31,0.0206629526538147
world_ex_us,momentum,monthly,vw,40,1997-02-28,-0.00409749472531237
world_ex_us,momentum,monthly,vw,41,1997-03-31,0.0170590348496271
world_ex_us,momentum,monthly,vw,42,1997-04-30,0.0340236276504956
world_ex_us,momentum,monthly,vw,42,1997-05-31,0.00062733789255794
world_ex_us,momentum,monthly,vw,42,1997-06-30,0.0138062453106724
world_ex_us,momentum,monthly,vw,42,1997-07-31,0.0581772348043316
world_ex_us,momentum,monthly,vw,40,1997-08-31,-0.0141118857168954
world_ex_us,momentum,monthly,vw,41,1997-09-30,0.0450501216893687
world_ex_us,momentum,monthly,vw,41,1997-10-31,-0.0126966617818733
world_ex_us,momentum,monthly,vw,42,1997-11-30,0.033097763784407
world_ex_us,momentum,monthly,vw,42,1997-12-31,0.042673998778788
